booking_id,customer_id,cab_id,booking_time,pickup_location,drop_location,status
1,805,505,2025-05-04 17:11:46,"780 Judy Mount, Christopherberg, OK 30733","Unit 0708 Box 5090, DPO AA 76838",Cancelled
2,744,314,2024-02-13 21:17:19,"534 Brooke Fords, Garciaport, SD 24550","061 Michael Stream Apt. 556, South Jennifer, HI 30370",Completed
3,2128,613,2024-05-12 05:16:48,"68483 Janet Cape Suite 826, North Victoriastad, GA 67220","8700 Gerald Cove Apt. 008, Kleinfort, CT 87513",Completed
4,1976,1190,2024-04-25 15:52:25,"8263 Peterson Locks Apt. 380, East Michele, NJ 70586","067 Morton Coves Suite 936, North David, KS 25002",Cancelled
5,726,151,2024-01-13 12:30:55,"896 James Manor Apt. 121, Lindaside, MS 71407","9190 Harrison Squares, Bradleyberg, MS 08553",Cancelled
6,2678,1446,2024-06-26 10:49:03,"36953 Rogers Causeway Suite 215, Wandaland, OK 90480","452 Tanya Well, Leonardmouth, OK 88256",Cancelled
7,2262,1157,2025-01-25 05:15:40,"58851 Amanda Parkway Apt. 080, Jeffersonhaven, WY 38220","413 Lewis Radial Apt. 715, New Michaelburgh, MT 04245",Completed
8,2538,274,2024-06-07 07:58:08,"81399 Hill Turnpike, West David, WV 87592","081 Cooper Fords, North Marthaview, VA 99457",Completed
9,821,1347,2025-02-24 11:06:42,"8040 Jessica Burgs, Smithmouth, OH 19576","010 Dawn Turnpike Apt. 143, Port Tammy, CA 78215",Confirmed
10,194,271,2024-02-26 00:02:00,"063 Paul Stream, Cordovaland, MS 69213","1844 Stevens Crescent Apt. 984, Lake Rick, AL 08400",Cancelled
11,2327,1053,2024-12-08 07:00:03,"PSC 9012, Box 1978, APO AE 62325","8862 Maynard Circle Suite 128, North Erinshire, NM 48158",Cancelled
12,2032,390,2024-11-06 15:32:02,"8686 Beltran Brook Apt. 823, Kimberlyfort, TX 16930","0074 Brock Heights, South Benjamin, VA 04412",Completed
13,2621,1358,2025-04-28 11:40:57,"365 Jose Harbor, South Tonya, ID 69656","PSC 8076, Box 6467, APO AA 40489",Confirmed
14,2861,518,2023-12-09 17:58:47,"8335 Benitez Track, West Jerryview, WV 88154","868 Harrington Turnpike, South Tara, AZ 54338",Completed
15,2143,1205,2024-11-17 20:19:10,"9981 Watson Streets, South Phillip, SC 36212","265 Maddox Lock Suite 584, Roweburgh, TN 68726",Completed
16,2571,960,2024-10-07 06:31:05,"726 Riddle Ports Suite 396, West Nicolemouth, NH 85537","610 Browning Mews Suite 328, Tiffanybury, ND 95091",Cancelled
17,850,1319,2023-10-12 13:34:32,"499 Lyons Island, Port Williamshire, NM 80015","5419 Brian Crest Apt. 331, Lisamouth, ID 91232",Confirmed
18,147,707,2025-02-09 21:32:01,"3203 Chris Square Suite 183, Lake Jefferyfurt, WA 66072","4565 Janet Loop Apt. 642, Tanyafurt, IN 81429",Confirmed
19,525,34,2023-12-27 14:34:50,"81586 Stephanie Knolls Suite 542, Amandachester, IL 67299","450 Travis Grove, South Donna, NH 88459",Cancelled
20,140,888,2024-06-15 09:45:00,"7331 Christopher Island, Justinberg, ID 55040","7501 Reyes Centers Apt. 370, New Alicia, DE 29008",Cancelled
21,2332,437,2024-06-27 09:11:10,"0663 Donald Junction, New Benjaminview, CT 05401","0042 Craig Falls, Anneborough, IA 80332",Cancelled
22,1651,352,2024-12-20 22:51:02,"2315 Haney Forest, Angelaview, IA 42754","4356 Monica Junctions, South Kaitlin, MT 91768",Cancelled
23,831,186,2025-05-07 04:51:16,"58904 Brewer Heights, West Christopher, MI 39281","233 Ramirez Place Apt. 654, New Troyhaven, UT 04248",Confirmed
24,1866,1051,2023-12-27 22:52:23,"8303 Robinson Trail Apt. 206, West Julie, IA 05769","74688 Brown Forge Apt. 047, New Heather, OH 14677",Cancelled
25,778,92,2024-05-21 01:52:59,"4072 Poole Extension Suite 731, Rossside, MO 75263","553 Clark Ville, Jenniferberg, WV 77453",Cancelled
26,1395,636,2024-07-21 20:13:27,"PSC 0488, Box 5961, APO AE 91874","476 Moore Springs Suite 263, West Williefurt, FL 99266",Cancelled
27,1005,258,2025-07-25 07:58:40,"9035 Carson Well, Davisfurt, ND 31549","82919 Renee River Apt. 239, Lake Tammystad, IN 57737",Completed
28,2517,1433,2025-04-18 04:44:01,"08352 Mendez Brooks Apt. 164, New Williamburgh, TX 31162","662 Ashley Rapids, Rangelhaven, TX 41331",Confirmed
29,1381,931,2024-09-28 22:39:29,"15605 Rivers Turnpike Suite 401, Lewiston, WA 47877","21243 Megan Shore, Lopezside, AL 22947",Cancelled
30,1367,1053,2025-03-18 12:26:32,"8265 Thompson Path, Robertchester, MT 84081","6265 Kimberly Run, East Lindsayton, NE 38292",Cancelled
31,2281,672,2023-10-26 17:29:41,"558 Kristin Island Apt. 036, South Felicia, WA 63641","42757 Michele Mill Suite 796, Port Stephaniehaven, SC 86401",Confirmed
32,1447,799,2025-04-16 19:45:02,"Unit 1705 Box 3588, DPO AE 23037","38355 Webster River, East Bethstad, NM 11539",Completed
33,1049,1010,2024-05-02 07:45:45,"876 Ford Harbors, Lake Jade, VT 16199","157 Valerie Junctions Suite 335, Lake Lindamouth, TN 79198",Confirmed
34,4,1060,2024-12-10 04:43:28,"USNV Mays, FPO AP 63361","7373 Mckee Track Suite 945, Robertland, MI 26828",Confirmed
35,2303,638,2024-01-18 01:46:51,"7385 Williams Ranch Suite 916, Port Sharon, ND 81940","683 Roy Villages, New Michaelside, UT 30106",Completed
36,2235,1318,2025-09-03 22:34:05,"2519 Harrell Parks, East Patriciaborough, MA 05170","3286 Nancy Rapids Suite 252, Port Tammystad, RI 60887",Completed
37,1064,870,2024-10-10 05:09:16,"852 Allison Mission, Lewisberg, OR 08943","0371 Richard Bridge, New Danatown, HI 52227",Confirmed
38,2503,1039,2025-05-08 06:10:27,"846 Douglas Isle Apt. 629, Wrightport, WV 59285","792 Cory Fords Apt. 408, Port Brenda, SC 21340",Confirmed
39,1764,615,2023-11-04 06:25:28,"348 Lutz Views, Devinhaven, CA 52443","31294 Tyrone Fork Suite 941, Riveraton, OK 19453",Cancelled
40,1673,85,2023-10-27 13:40:51,"49836 Heather Common, Morenomouth, MD 48111","1514 Angela Glen Suite 833, North David, ND 96223",Completed
41,2127,1338,2025-03-01 05:30:24,"9794 Emma Fields, Joseberg, CT 69007","41949 Deborah Square, Sarahside, VA 96326",Confirmed
42,1471,1482,2025-08-10 00:43:26,"48984 Wood Ridges, Sarahfurt, KS 65888","633 Rangel Island Suite 584, Perezmouth, HI 40380",Confirmed
43,1821,1025,2023-10-17 05:22:36,"3707 Sean Spurs, Port Mariaview, WY 99213","93033 Barbara Passage Apt. 970, Port Crystalside, TX 76571",Cancelled
