trip_id,booking_id,trip_start_time,trip_end_time,distance_km,fare
1,1362,2024-05-23 05:26:38,2024-05-23 05:57:38,38.13,495.76
2,2052,2025-01-08 11:50:14,2025-01-08 12:09:14,20.95,304.12
3,4778,2024-08-16 22:51:44,2024-08-17 00:01:44,39.2,572.24
4,4954,2025-03-08 15:20:26,2025-03-08 16:27:26,29.49,329.0
5,4397,2025-03-14 19:14:34,2025-03-14 20:12:34,10.1,92.27
6,2744,2024-10-20 12:35:48,2024-10-20 13:00:48,17.47,254.36
7,4916,2024-02-20 17:22:03,2024-02-20 18:30:03,33.53,314.14
8,3476,2024-08-17 08:10:59,2024-08-17 09:32:59,31.45,446.09
9,4951,2025-01-03 08:28:31,2025-01-03 10:21:31,31.4,414.96
10,1959,2024-08-06 02:44:14,2024-08-06 04:26:14,11.11,138.98
11,1501,2024-08-04 13:33:18,2024-08-04 14:05:18,2.43,27.85
12,4859,2024-10-26 06:38:58,2024-10-26 07:33:58,35.96,360.01
13,551,2025-05-17 14:07:56,2025-05-17 15:55:56,19.84,230.25
14,1290,2025-07-12 09:43:14,2025-07-12 11:36:14,20.63,186.44
15,1334,2025-03-09 05:41:33,2025-03-09 06:33:33,5.71,77.31
16,2780,2024-03-05 07:27:59,2024-03-05 07:45:59,21.53,264.24
17,2910,2025-02-15 17:55:40,2025-02-15 18:25:40,15.56,184.55
18,2212,2023-10-25 21:52:36,2023-10-25 23:51:36,25.99,294.02
19,1409,2025-06-06 14:21:38,2025-06-06 15:57:38,11.39,163.14
20,3305,2024-05-20 01:54:33,2024-05-20 02:53:33,27.93,404.75
21,1798,2025-04-20 01:11:21,2025-04-20 02:22:21,24.6,297.91
22,284,2024-07-13 07:25:22,2024-07-13 07:35:22,30.15,246.79
23,2582,2024-08-09 19:06:41,2024-08-09 20:14:41,31.37,264.34
24,1015,2024-04-04 13:21:39,2024-04-04 13:50:39,15.52,159.76
25,4121,2023-12-26 19:42:07,2023-12-26 21:10:07,14.39,207.72
26,1744,2023-09-07 08:28:07,2023-09-07 09:19:07,11.07,136.92
27,2505,2024-07-23 01:50:00,2024-07-23 02:13:00,39.08,388.03
28,3439,2023-10-15 09:55:45,2023-10-15 10:29:45,31.62,385.79
29,2779,2024-07-13 15:43:09,2024-07-13 17:24:09,19.64,220.96
30,244,2024-10-31 00:41:26,2024-10-31 02:08:26,13.29,195.4
31,700,2024-06-12 11:48:31,2024-06-12 13:35:31,4.17,61.54
32,2908,2025-07-13 23:00:56,2025-07-14 00:49:56,13.22,179.7
33,1118,2024-08-19 13:52:17,2024-08-19 15:28:17,4.32,55.0
34,3775,2024-01-08 15:47:55,2024-01-08 16:27:55,5.85,61.29
35,970,2025-02-22 17:22:51,2025-02-22 18:41:51,22.08,287.0
36,2448,2024-10-27 22:59:53,2024-10-28 00:47:53,33.36,485.0
37,2111,2024-11-29 23:25:02,2024-11-30 00:42:02,22.94,236.36
38,4466,2023-09-20 12:07:12,2023-09-20 14:04:12,2.08,19.65
39,79,2024-07-07 05:44:49,2024-07-07 06:12:49,4.38,44.56
40,1425,2024-03-21 01:43:35,2024-03-21 02:59:35,30.42,261.04
41,843,2024-12-16 16:20:24,2024-12-16 18:02:24,34.41,279.01
42,2331,2024-05-01 23:54:45,2024-05-02 01:37:45,28.82,412.01
